obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('30',)",3788278129.94,4,31.4332008362,3788642834.25,3788642840.69,3788278129.94,0.0,internal_timestamp,2640.62011719,942807,1579289329,1.82550001144,3.14332008362,34.6155971461,1039.80404888,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('31',)",3788278130.95,4,31.4330005646,3788642834.25,3788642840.69,3788278130.95,0.0,internal_timestamp,2640.66992188,945099,1579289330,1.82500004768,3.14330005646,34.6158601953,1039.80454864,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('32',)",3788278131.94,4,31.432800293,3788642834.25,3788642840.69,3788278131.94,0.0,internal_timestamp,2640.65991211,936783,1579289331,1.82529997826,3.1432800293,34.6152996736,1039.80402258,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('33',)",3788278132.95,4,31.432800293,3788642834.25,3788642840.69,3788278132.95,0.0,internal_timestamp,2640.65991211,950260,1579289332,1.82509994507,3.1432800293,34.615512657,1039.80421799,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('34',)",3788278133.94,4,31.432800293,3788642834.25,3788642840.7,3788278133.94,0.0,internal_timestamp,2640.63989258,942004,1579289333,1.82500004768,3.1432800293,34.6156284329,1039.80423379,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('35',)",3788278134.94,4,31.4328994751,3788642834.25,3788642840.7,3788278134.94,0.0,internal_timestamp,2640.63989258,944182,1579289334,1.82500004768,3.14328994751,34.615750201,1039.80432895,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('36',)",3788278135.95,4,31.4328994751,3788642834.25,3788642840.7,3788278135.95,0.0,internal_timestamp,2640.68994141,946958,1579289335,1.82519996166,3.14328994751,34.6155138171,1039.80433814,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('37',)",3788278136.95,4,31.432800293,3788642834.25,3788642840.7,3788278136.95,0.0,internal_timestamp,2640.67993164,949189,1579289336,1.82500004768,3.1432800293,34.6156096123,1039.80439738,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('38',)",3788278137.95,4,31.432800293,3788642834.25,3788642840.7,3788278137.95,0.0,internal_timestamp,2640.64990234,951478,1579289337,1.82490003109,3.1432800293,34.6157302207,1039.80437239,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('39',)",3788278138.94,4,31.432800293,3788642834.25,3788642840.7,3788278138.94,0.0,internal_timestamp,2640.61010742,943375,1579289338,1.82490003109,3.1432800293,34.6157489267,1039.8042098,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('40',)",3788278139.95,4,31.432800293,3788642834.25,3788642840.7,3788278139.95,0.0,internal_timestamp,2640.64990234,945526,1579289339,1.82519996166,3.1432800293,34.6154108702,1039.80407939,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('41',)",3788278140.94,4,31.4326992035,3788642834.25,3788642840.7,3788278140.94,0.0,internal_timestamp,2640.66992188,937034,1579289340,1.82519996166,3.14326992035,34.6152773511,1039.8040642,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('42',)",3788278141.94,4,31.4328994751,3788642834.25,3788642840.7,3788278141.94,0.0,internal_timestamp,2640.69995117,941357,1579289341,1.82509994507,3.14328994751,34.6156156042,1039.80447675,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('43',)",3788278142.94,4,31.4328994751,3788642834.25,3788642840.7,3788278142.94,0.0,internal_timestamp,2640.64990234,941157,1579289342,1.82519996166,3.14328994751,34.6155326375,1039.80417455,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('44',)",3788278143.94,4,31.4330005646,3788642834.25,3788642840.7,3788278143.94,0.0,internal_timestamp,2640.62988281,943127,1579289343,1.82490003109,3.14330005646,34.6159855098,1039.80448275,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('45',)",3788278144.93,4,31.4330005646,3788642834.25,3788642840.7,3788278144.93,0.0,internal_timestamp,2640.62011719,934379,1579289344,1.82500004768,3.14330005646,34.6158836064,1039.80434514,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('46',)",3788278145.95,4,31.4330005646,3788642834.25,3788642840.7,3788278145.95,0.0,internal_timestamp,2640.64990234,946299,1579289345,1.82509994507,3.14330005646,34.6157632393,1039.80436925,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('47',)",3788278146.94,4,31.432800293,3788642834.25,3788642840.7,3788278146.94,0.0,internal_timestamp,2640.68994141,937089,1579289346,1.82529997826,3.1432800293,34.6152855584,1039.80414528,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('48',)",3788278147.94,4,31.4328994751,3788642834.25,3788642840.7,3788278147.94,0.0,internal_timestamp,2640.66992188,938752,1579289347,1.82519996166,3.14328994751,34.6155232273,1039.80425635,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('49',)",3788278148.94,4,31.4328994751,3788642834.25,3788642840.7,3788278148.94,0.0,internal_timestamp,2640.68994141,940995,1579289348,1.82509994507,3.14328994751,34.6156203093,1039.80443585,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('50',)",3788278149.94,4,31.4330005646,3788642834.25,3788642840.7,3788278149.94,0.0,internal_timestamp,2640.66992188,943435,1579289349,1.82529997826,3.14330005646,34.6155408441,1039.80425563,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('51',)",3788278150.93,4,31.4330005646,3788642834.25,3788642840.7,3788278150.93,0.0,internal_timestamp,2640.65991211,933692,1579289350,1.82509994507,3.14330005646,34.6157585341,1039.80441015,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('52',)",3788278151.94,4,31.4332008362,3788642834.25,3788642840.7,3788278151.94,0.0,internal_timestamp,2640.63989258,935414,1579289351,1.82529997826,3.14332008362,34.6158008352,1039.80432509,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('53',)",3788278152.94,4,31.4330005646,3788642834.25,3788642840.7,3788278152.94,0.0,internal_timestamp,2640.65991211,937594,1579289352,1.82519996166,3.14330005646,34.6156520414,1039.80431244,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('54',)",3788278153.94,4,31.4328994751,3788642834.25,3788642840.7,3788278153.94,0.0,internal_timestamp,2640.66992188,940292,1579289353,1.82509994507,3.14328994751,34.6156297196,1039.80435405,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('55',)",3788278154.93,4,31.4328994751,3788642834.25,3788642840.7,3788278154.93,0.0,internal_timestamp,2640.66992188,931814,1579289354,1.82519996166,3.14328994751,34.6155232273,1039.80425635,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('56',)",3788278155.94,4,31.4328994751,3788642834.25,3788642840.7,3788278155.94,0.0,internal_timestamp,2640.66992188,944207,1579289355,1.82529997826,3.14328994751,34.6154167355,1039.80415864,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('57',)",3788278156.95,4,31.4332008362,3788642834.25,3788642840.7,3788278156.95,0.0,internal_timestamp,2640.65991211,946300,1579289356,1.82539999485,3.14332008362,34.6156849325,1039.80430918,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('58',)",3788278157.94,4,31.4330005646,3788642834.25,3788642840.7,3788278157.94,0.0,internal_timestamp,2640.63989258,937773,1579289357,1.82529997826,3.14330005646,34.6155549594,1039.80413294,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('59',)",3788278158.94,4,31.4330005646,3788642834.25,3788642840.7,3788278158.94,0.0,internal_timestamp,2640.62011719,941500,1579289358,1.82529997826,3.14330005646,34.6155642548,1039.80405214,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('60',)",3788278159.93,4,31.4330005646,3788642834.25,3788642840.7,3788278159.93,0.0,internal_timestamp,2640.70996094,932641,1579289359,1.82529997826,3.14330005646,34.6155220238,1039.80441922,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('61',)",3788278160.94,4,31.4330997467,3788642834.25,3788642840.7,3788278160.94,0.0,internal_timestamp,2640.68994141,935148,1579289360,1.82509994507,3.14330997467,34.6158661865,1039.804628,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('62',)",3788278161.94,4,31.4328994751,3788642834.25,3788642840.7,3788278161.94,0.0,internal_timestamp,2640.66992188,937232,1579289361,1.82519996166,3.14328994751,34.6155232273,1039.80425635,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('63',)",3788278162.94,4,31.4330005646,3788642834.25,3788642840.7,3788278162.94,0.0,internal_timestamp,2640.65991211,939710,1579289362,1.82529997826,3.14330005646,34.6155455492,1039.80421473,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('64',)",3788278163.92,4,31.4330005646,3788642834.25,3788642840.7,3788278163.92,0.0,internal_timestamp,2640.64990234,921993,1579289363,1.82529997826,3.14330005646,34.6155502543,1039.80417384,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('65',)",3788278164.93,4,31.4330005646,3788642834.25,3788642840.7,3788278164.93,0.0,internal_timestamp,2640.64990234,934865,1579289364,1.82519996166,3.14330005646,34.6156567465,1039.80427154,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('66',)",3788278165.94,4,31.4330005646,3788642834.25,3788642840.7,3788278165.94,0.0,internal_timestamp,2640.67993164,936778,1579289365,1.82519996166,3.14330005646,34.6156426312,1039.80439424,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('67',)",3788278166.94,4,31.4330997467,3788642834.25,3788642840.7,3788278166.94,0.0,internal_timestamp,2640.69995117,939433,1579289366,1.82509994507,3.14330997467,34.6158614813,1039.8046689,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('68',)",3788278167.94,4,31.4330997467,3788642834.25,3788642840.7,3788278167.94,0.0,internal_timestamp,2640.70996094,942013,1579289367,1.82509994507,3.14330997467,34.6158567762,1039.8047098,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('69',)",3788278168.93,4,31.4328994751,3788642834.25,3788642840.7,3788278168.93,0.0,internal_timestamp,2640.65991211,934353,1579289368,1.82519996166,3.14328994751,34.6155279324,1039.80421545,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('70',)",3788278169.94,4,31.4330005646,3788642834.25,3788642840.7,3788278169.94,0.0,internal_timestamp,2640.65991211,937746,1579289369,1.82529997826,3.14330005646,34.6155455492,1039.80421473,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('71',)",3788278170.94,4,31.4330005646,3788642834.25,3788642840.7,3788278170.94,0.0,internal_timestamp,2640.64990234,938997,1579289370,1.82550001144,3.14330005646,34.6153372713,1039.80397842,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('72',)",3788278171.94,4,31.4330005646,3788642834.25,3788642840.7,3788278171.94,0.0,internal_timestamp,2640.65991211,941659,1579289371,1.82529997826,3.14330005646,34.6155455492,1039.80421473,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
